index,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,median_age,gdp_per_capita,life_expectancy
0,Africa,Zimbabwe,2020-10-21,8187.0,233.0,550.8340000000001,15.677,14862927.0,19.6,1899.775,61.49
1,Africa,Cameroon,2020-10-21,21570.0,425.0,812.556,16.01,26545864.0,18.8,3364.926,59.29
2,Africa,Ghana,2020-10-21,47461.0,312.0,1527.406,10.041,31072945.0,21.1,4227.63,64.07
3,Africa,Cape Verde,2020-10-21,7901.0,87.0,14210.738000000001,156.47799999999998,555988.0,25.7,6222.554,72.98
4,Africa,Sao Tome and Principe,2020-10-21,933.0,15.0,4257.144,68.443,219161.0,18.7,3052.7140000000004,70.39
5,Africa,Central African Republic,2020-10-21,4858.0,62.0,1005.846,12.837,4829764.0,18.3,661.24,53.28
6,Africa,Chad,2020-10-21,1399.0,93.0,85.171,5.662000000000001,16425859.0,16.7,1768.1529999999998,54.24
7,Africa,Rwanda,2020-10-21,4997.0,34.0,385.80300000000005,2.625,12952209.0,20.3,1854.211,69.02
8,Africa,Liberia,2020-10-21,1384.0,82.0,273.643,16.213,5057677.0,19.2,752.788,64.1
9,Africa,Libya,2020-10-21,50906.0,746.0,7408.51,108.568,6871287.0,29.0,17881.509,72.91
10,Africa,Comoros,2020-10-21,504.0,7.0,579.58,8.05,869595.0,20.4,1413.89,64.32
11,Africa,Congo,2020-10-21,5156.0,92.0,934.3810000000001,16.672,5518092.0,19.0,4881.406,64.57
12,Africa,Gambia,2020-10-21,3655.0,118.0,1512.415,48.828,2416664.0,17.5,1561.767,62.05
13,Africa,Cote d'Ivoire,2020-10-21,20342.0,121.0,771.165,4.587,26378275.0,18.7,3601.006,57.78
14,Africa,Mauritania,2020-10-21,7621.0,163.0,1639.045,35.056,4649660.0,20.3,3597.633,64.92
15,Africa,Gabon,2020-10-21,8884.0,54.0,3991.5029999999997,24.261999999999997,2225728.0,23.1,16562.413,66.47
16,Africa,Nigeria,2020-10-21,61630.0,1125.0,298.972,5.457000000000001,206139587.0,18.1,5338.454000000001,54.69
17,Africa,Niger,2020-10-21,1212.0,69.0,50.068999999999996,2.85,24206636.0,15.1,926.0,62.42
18,Africa,Malawi,2020-10-21,5861.0,182.0,306.378,9.514,19129955.0,18.1,1095.042,64.26
19,Africa,Democratic Republic of Congo,2020-10-21,11065.0,302.0,123.54700000000001,3.372,89561404.0,17.0,808.133,60.68
20,Africa,Namibia,2020-10-21,12367.0,132.0,4867.142,51.95,2540916.0,22.0,9541.808,63.71
21,Africa,Djibouti,2020-10-21,5499.0,61.0,5565.778,61.74100000000001,988002.0,25.4,2705.406,67.11
22,Africa,Mozambique,2020-10-21,11190.0,78.0,358.01800000000003,2.496,31255435.0,17.7,1136.103,60.85
23,Africa,Morocco,2020-10-21,179003.0,3027.0,4849.642,82.009,36910558.0,29.6,7485.013000000001,76.68
24,Africa,Egypt,2020-10-21,105705.0,6142.0,1032.937,60.019,102334403.0,25.3,10550.206,71.99
25,Africa,Equatorial Guinea,2020-10-21,5074.0,83.0,3616.575,59.16,1402985.0,22.4,22604.873,58.74
26,Africa,Eritrea,2020-10-21,452.0,,127.45200000000001,,3546427.0,19.3,1510.4589999999998,66.32
27,Africa,Mauritius,2020-10-21,419.0,10.0,329.463,7.8629999999999995,1271767.0,37.4,20292.745,74.99
28,Africa,Ethiopia,2020-10-21,90490.0,1371.0,787.1189999999999,11.925999999999998,114963583.0,19.8,1729.9270000000001,66.6
29,Africa,Madagascar,2020-10-21,16810.0,238.0,607.056,8.595,27691019.0,19.6,1416.44,67.04
30,Africa,Burundi,2020-10-21,550.0,1.0,46.254,0.084,11890781.0,17.5,702.225,61.58
31,Africa,Senegal,2020-10-21,15459.0,320.0,923.26,19.111,16743930.0,18.7,2470.58,67.94
32,Africa,Seychelles,2020-10-21,149.0,,1515.152,,98340.0,36.2,26382.287,73.4
33,Africa,Algeria,2020-10-21,54839.0,1865.0,1250.575,42.53,43851043.0,29.1,13913.839,76.88
34,Africa,Western Sahara,2020-10-21,766.0,1.0,1282.373,1.6740000000000002,597330.0,28.4,,70.26
35,Africa,Angola,2020-10-21,7829.0,248.0,238.208,7.546,32866268.0,16.8,5819.495,61.15
36,Africa,Uganda,2020-10-21,10788.0,97.0,235.85,2.121,45741000.0,16.4,1697.707,63.37
37,Africa,Guinea-Bissau,2020-10-21,2403.0,41.0,1221.038,20.833000000000002,1967998.0,19.4,1548.675,58.32
38,Africa,Tunisia,2020-10-21,44450.0,711.0,3761.015,60.159,11818618.0,32.7,10849.296999999999,76.7
39,Africa,Togo,2020-10-21,2104.0,51.0,254.145,6.16,8278737.0,19.4,1429.8129999999999,61.04
40,Africa,Guinea,2020-10-21,11538.0,70.0,878.564,5.33,13132792.0,19.0,1998.9260000000002,61.6
41,Africa,Burkina Faso,2020-10-21,2406.0,65.0,115.102,3.11,20903278.0,17.6,1703.102,61.58
42,Africa,Tanzania,2020-10-21,509.0,21.0,8.521,0.35200000000000004,59734213.0,17.7,2683.304,65.46
43,Africa,Kenya,2020-10-21,45647.0,842.0,848.91,15.659,53771300.0,20.0,2993.028,66.7
